"135,00+ Flights","135,00+ полети"
"There are many factors that can affect a flight while it's in the air. Weather, air traffic control directives, congestion on the taxi-ways and more.","Има много фактори, които могат да повлияят на полет, докато е във въздуха. Времето, директиви за контрол на въздушното движение, задръствания по таксиметровите начини и повече."
This field is required.,Това поле е задължително.
To,Да се
Top Flight Routes,Top Самолетни маршрути
total price,обща цена
total time,общо време
Town / City,Град /
Translation,превод
Translations,Преводи
Travel Insurance,Застраховка за пътуване
Travel News,Travel News
Traveler Information,Traveler Информация
TRIP ID,TRIP ID
Trip Protector,Trip Protector
Trips You have Booked!,Екскурзии сте резервирали!
UPCOMING,ПРЕДСТОЯЩО
UPDATE PASSWORD,ОБНОВИ ПАРОЛА
UPDATE SETTINGS,Актуализиране на настройките
Upload Profile Photo,Качване снимка на профил
user name,потребителско име
Username,Потребител
username/email address,потребителско име / имейл адрес
Users,Потребители
Verify Email Address,Потвърждаване на имейл адреса
View Airlines,Вижте Airlines
View Airports,Вижте Летища
View Amenities,Вижте Удобства
View Bookings,Вижте резервации
View Categories,Преглед на категории
View Destinations,Преглед Дестинации
View Flights,Преглед на полети
View Hotels,Преглед на хотели
View Inflight Features,Преглед на бордното Удобства
View Packages,Преглед на пакети
View Reservations,Вижте резервации
View Sites,Преглед на сайтове
View Users,Преглед на Потребители
We may need to send you critical information about our service and it is important that we have an accurate email address.,"Ние може да се наложи да ви изпрати критична информация за нашите услуги и е важно, че имаме точна имейл адрес."
We respect your privacy,Ние уважаваме поверителността
We would be more than happy to help you. Our team advisor are 24/7 at your service to help you.,"Ние ще бъдем повече от щастливи да ви помогне. Нашият екип съветник са 24/7 на ваше разположение, за да ви помогне."
When,Кога
Where,Където
Whether you would like a meal for your little ones or a special meal to meet your dietary requirements we will do our best to supply your preferred choice.,"Дали бихте искали храна за децата си или специална храна, за да отговарят на вашите изисквания към храната, ние ще направим всичко възможно да предоставят предпочитан избор."
Who,Кой
Why Book with us?,Защо поръчате при нас?
you are flying,летите
You can use your account now.,Можете да използвате профила си сега.
Your Card Information,Вашата карта Информация
Your Personal Information,Вашата лична информация
zip,пощенски код
ZIP code,пощенски код
